idx	letter	header	formula	val_r6	val_r12
492	RX	Expense Per Unit Charge / EPU Rate for Segments / 1	=PolicyRates!BT10	0.09167	0.09167
493	RY	2	=PolicyRates!BU10	0	0
494	RZ	3	=PolicyRates!BV10	0	0
495	SA	APB	=PolicyRates!BW10	0	0
496	SB	EPU Charge (original SA) / 1	=ROUND(CHOOSE(sEPU_SA_Basis,EP12,EU12)*RX12/1000,2)	13.75	13.75
497	SC	2	=ROUND(CHOOSE(sEPU_SA_Basis,EQ12,EV12)*RY12/1000,2)	0	0
498	SD	3	=ROUND(CHOOSE(sEPU_SA_Basis,ER12,EW12)*RZ12/1000,2)	0	0
499	SE	APB	=ROUND(CHOOSE(sEPU_SA_Basis,ES12,EX12)*SA12/1000,2)	0	0
500	SF	vTotalEPU	=SUM(SB12:SE12)	13.75	13.75
501	SG	Other Fees / vMFee	=PolicyRates!BX10	5	5
502	SH	PoAV	=PolicyRates!BY10	0	0
503	SI	vAVCharge	=MAX(0,OO12*SH12)	0	0
504	SJ	vTotalFees	=SI12+SG12+SF12	18.75	18.75
505	SK	PWoC COI Charge / MD w/o PW	=SJ12+RU12+RV12+RW12+RN12+RJ12+RH12+RD12+QZ12+RF12	26.60562567040907	26.60562567040907
506	SL	Premium to Waive	=IF(vPW_Active,IF(sPW_WaiveMTP,MAX(ROUND(vMTP/12,2),SK12),SK12),0)	0	0
507	SM	COI Rate PW	=PolicyRates!FG10	0	0
508	SN	COI PW Charge	=IF(vPW_Active,SL12*SM12*(1+sTableRatingFactor*$FK12),0)	0	0
509	SO	vRiderBenefitCharge	=RB12+RH12+RF12+SN12+RU12+RV12+RW12+RN12+RJ12+RD12	0	0
510	SP	Total COI Charge Display	=IF(H12,vTotalBaseCOI+vRiderBenefitCharge,0)	7.85562567040907	7.85562567040907
511	SQ	ASSET CHARGE / IP - Asset Fee	=sIP_AssetFee	0.0215	0.0215
512	SR	IR - Asset Fee	=sIR_AssetFee	0.0415	0.0415
513	SS	vBlendedAssetRate	=IF(sAG49Index <=2, SQ12*sINPUT_PremAllocationIP+SR12*sINPUT_PremAllocationIR,0)	0	0
514	ST	vAssetCharge	=IF(sAG49Index <=2,MAX(0,SS12/12*(OO12-MS12-MT12)),0)	0	0
515	SU	vMD	=IF(H12,vTotalBaseCOI+vRiderBenefitCharge+vTotalFees,0)	26.60562567040907	26.60562567040907
516	SV	vAV_AfterCharge	=IF(vInforceValuationDate,sInput_CurrentAV,OO12-SU12-IF(H12, CHOOSE(sAG49Index,ST12,ST12,0,0)))	-26.60562567040907	-186.23937969286348
517	SW				
518	SX	Guideline Limit Reached	=IF(vYear>=sMaturityYear,FALSE,IF(vBeginningOfYearCalc,NW12=NU12,SX11))	False	False
519	SY	vExceptionPremMode	=IF(vYear>=sMaturityYear,FALSE,IF(NOT(vLiveCalc),FALSE,IF(UPPER(TRIM(SY11))="TRUE",TRUE,AND(sINPUT_AllowExceptionPrems*1,vAV_AfterCharge<0,SX12*1))))	False	False
520	SZ	GP_Exception_Prem_Gross	=IF(OR(vYear<=sRates_SNET,vCCV_Active),0,IF(YS11,IF(SY12*1,MAX(0,-vAV_AfterCharge),0),0))	0	0
521	TA	Exception_Prem_Discount	=SZ12/1000*OV12	0	0
522	TB	vGP_Exception_Prem	=IF(SZ12=0,0,IF(AND(sblnPrintMode,sAssumption<>"Current"),INDEX(vCurrentGP_Exception_Prem,$B12),(SZ12-TA12+sFlatPremLoad)/(1-OG12)))	0	0
523	TC				
524	TD	vAV	=IF(vInforceValuationDate,sInput_CurrentAV,vAV_AfterCharge+IF(TB12>0,vGP_Exception_Prem*(1-OG12)-sFlatPremLoad+TA12,0))	-26.60562567040907	-186.23937969286348
525	TE	Surrender Value - Before New Loan / SCR / 1	=PolicyRates!CA10	18.2	18.2
526	TF	2	=PolicyRates!CB10	0	0
527	TG	3	=PolicyRates!CC10	0	0
528	TH	Surrender Charge (Original SA) / 1	=IF(DQ12,CHOOSE(sTarget_SA_Basis,EP12,EU12)*TE12/1000,0)	2730	2730
529	TI	2	=IF(DR12,CHOOSE(sTarget_SA_Basis,EQ12,EV12)*TF12/1000,0)	0	0
530	TJ	3	=IF(DS12,CHOOSE(sTarget_SA_Basis,ER12,EW12)*TG12/1000,0)	0	0
531	TK	vFullSC	=SUM(TH12:TJ12)	2730	2730
532	TL	vLapseSV	=TD12-TK12-vPolicyDebtDisplay	-2756.605625670409	-2916.2393796928636
533	TM	New Loan / Requested Loan	=IF(vAttainedAge>120,0,INDEX(vINPUT_Loans,D12))	0	0
534	TN	Loan Mode Effective	=MM12	False	False
535	TO	Scheduled Loan Amount	=TN12*TM12	0	0
536	TP	Remaining Distribution	=BB12	0	0
537	TQ	vAppliedLoan	=IF(AND(sblnPrintMode,sAssumption<>"Current"), MAX(0,MIN(INDEX(vCurrentAppliedLoan,$B12), INDEX(vLapseSV,$B12))), IF(sInput_RestrictLoansToSV,MIN(TO12+TP12,MAX(0,TL12-sMD_HoldBack*(vMD))),TO12+TP12))	0	0
538	TR	(AV - Loan Balance - (PremTD - AccumWD)) / Gain	=MAX(vAV-SUM(MS12:MX12)-MAX(0,(vPremTD-vAccumNetWD)),0)	0	0
539	TS	New Reg LN	=TQ12-MIN(TQ12,TR12)	0	0
540	TT	New Pref LN	=MIN(TQ12,TR12)	0	0
541	TU	In Advance / vAdvRegLNInt	=IF($TV$3,TS12*sRates_LNCRG*(vDaysToNextAnnivesary)/(1-sRates_LNCRG*(vDaysToNextAnnivesary)),0)	0	0
542	TV	=sLoanType="Advance" / vPrefRegLNInt	=IF($TV$3,TT12*sRates_PrefLNCRG*(vDaysToNextAnnivesary)/(1-sRates_PrefLNCRG*(vDaysToNextAnnivesary)),0)	0	0
543	TW	In Arrears / Total Rg Ln Princ	=IF(sINPUT_Loan_Type="Fixed", IF($TX$3, MS12+TQ12-MIN(TQ12,TR12), MS12+TS12+TU12),0)	0	0
544	TX	=sLoanType="Arrears" / Total Pref Ln Princ	=IF(sINPUT_Loan_Type="Fixed",IF($TX$3, MU12+MIN(TQ12,TR12), MU12+TT12+TV12),0)	0	0
545	TY	Total Vbl Ln Princ	=IF($TX$3,IF(sINPUT_Loan_Type="Variable",MW12+TQ12,0),0)	0	0
546	TZ	AV Display	=TD12	-26.60562567040907	-186.23937969286348
547	UA				
548	UB	# of Days	=IF(sINPUT_Exact_Days_Boolean,C13-C12-IF(U12,1,0),365/12)	30	31
549	UC	vPolicyBonus	=IF(sAssumption= "Guaranteed",IF(vYear>=sRates_Bonus_StartDuration,sRates_Guaranteed_Bonus,0),IF(($TZ12-TW12-TY12)>sRates_Bonus_AVAmt,sRates_Bonus_by_AV,0)+IF(vYear>=sRates_Bonus_StartDuration,sRates_Bonus_by_Duration,0))	0	0
550	UD	Fixed Ln Prinicple	=TW12+TX12	0	0
551	UE	Reg Impaired Int	=MAX(0,(TW12)*((1+sRates_LNCRD)^(UB12/365)-1))	0	0
552	UF	Pref Impaired Int	=MAX(0,(TX12)*((1+sRates_PrefLNCRD)^(UB12/365)-1))	0	0
553	UG				
554	UH	Declared Rate	=PolicyRates!$CH$5	0.03	0.03
555	UI	Declared Rate + Policy Bonus	=UH12+UC12	0.03	0.03
556	UJ	Unimpaired Int	=MAX(0,(TD12-TW12-TX12)*((1+UI12)^(UB12/365)-1))	0	0
557	UK	Declared Interest	=SUM(UJ12,UE12,UF12)	0	0
558	UL				
559	UM	Blended Index Rate	=IF(sINPUT_VaryingAssumeRate,PolicyRates!CD10,PolicyRates!$CH$4)	0.03	0.03
560	UN	vBlendedCreditingRate	=UM12+UC12	0.03	0.03
561	UO	vBlendInterest	=MAX(0,(TD12-UD12)*((1+UN12)^(UB12/365)-1))+UE12+UF12	0	0
562	UP				
563	UQ	TAV / The whole purpose of this subsection is to calcluate the Total Accumulation Value (TAV).  The TAV is ONLY used to calculate the Weighted Average Interest rate (WAIR). The TAV is a simplified projection of how much account value will be in the policy for the next year.  It considers premiums (limited by 7702), loan repayments, loan balance, and Monthly deductions (from the SWAM - Sweep Account Minimum) / bPremTD	=IF(vBeginningOfYearCalc,KW12-vForceOut,0)	0	0
564	UR	Amount In 7-Pay	=IF(vBeginningOfYearCalc,LE12,0)	0	0
565	US	Annualized Scheduled Prem	=vPlannedPremium*LT12	0	0
566	UT	Forecasted Prem for year	=US12+vLumpsum	0	0
567	UU	bRg Ln P	=IF(vBeginningOfYearCalc,LX12,0)	0	0
568	UV	bRg Ln Int	=IF(vBeginningOfYearCalc,LY12,0)	0	0
569	UW	bVbl Ln P	=IF(vBeginningOfYearCalc,MB12,0)	0	0
570	UX	bVbl Ln Int	=IF(vBeginningOfYearCalc,MC12,0)	0	0
571	UY	Rg Ln w Int	=UU12*(1+sRates_LNCRG*((13-$E12)/12))+UV12	0	0
572	UZ	Vbl LN w Int	=UW12*(1+MAX(sINPUT_Variable_Loan_Rate,(UE12-0.01))*((13-$E12)/12))+UX12	0	0
573	VA	Loan Repayment	=IF(sInput_ApplyPremToLoan,MIN(UT12,SUM(UY12:UZ12)),0)	0	0
